Created_at,Place,User,Text
2021-11-12 02:25:20+00:00,,SankRRRanti,"These shots never forget by Pakistani’s till the end of cricket ..
#PAKvAUS #IndVsPak https://t.co/Ubd1YubD9v"
2021-11-12 02:12:11+00:00,,Nimra,@Trusha0510 @KazmiWajahat We can tell who can't move on. Last time we checked it wasn't indvspak though. But why are Indians shaking i wonder.
2021-11-12 02:00:43+00:00,,JASIR جسیر,Indians should have appreciated Pakistani teams effort. BCCI is a money bag and PCB is empty pocket. If they reached Semifinal without much of salaries and facilities as indian counter- parts then their effort should have been appreciated .(2/4)#IndVsPak
2021-11-12 01:20:43+00:00,,Roshan Kalappa,@MashwaniAzhar What was Waqar saying about Rizwan after #IndVsPak match and insulting Hindus..what was that ? How many Hindus in your team ?
2021-11-12 01:15:03+00:00,,NAVEEN,"Today, people in #India supporting #Hasan_Ali after #AUSvsPAK #Cricket match where #Australia defeated #Pakistan. But, no-one stand for @MdShami11 when he was trolled by some of #Indian for his religion #Islam after #IndVsPak match.

#indiancricket #MohammadShami"
2021-11-12 00:59:30+00:00,,Syed Atif Bukhari,"@iRashidLatif68 @BCCI hosting the @T20WorldCup in subcontinent (UAE) and @CricketAus @BLACKCAPS the neighbouring rivals making it to the final, 2022 it'll be Australia hosting, so can we expect an #IndVsPak final? Premature prediction? But likely? Right? Please comment.
@vikrantgupta73"
2021-11-12 00:28:05+00:00,,Anurag Singh Rana,"@oyeesamiyahun This is the scene of #IndVsPak where the commentator asks ""Kuffar toot gaya?"" and Babar agrees.

It is a parody of that dialogue. Now please condemn the toxicity of your captain first."
2021-11-11 23:23:33+00:00,,Mission Ahlul Bayt,"Take good memories from #T20WorldCup21 

@imVkohli and @iMRizwanPak chat after #IndVsPak 
#AronFinch asking @iMRizwanPak about a ball hit during #PAKvAUS 
and many mores..."
2021-11-11 23:13:40+00:00,,SideAngleSay,Indians are taking pleasure bashing #ShaheenShahAfridi ... they feel like it gonna heal the wound #shaheenafridi gave them #IndVsPak ... no my friends it gonna hurt for long... very long....
2021-11-11 22:13:57+00:00,,SanN KhaN,"Hassan Ali is still better than whole Indian team.

#Hasan_Ali don't worry you tried your best. 

#PakistanvsAustralia 
#PakistanvsAustralia 

#IndVsPak 152-0 was our trophy 🏆 

#India https://t.co/VDSuk4QXnW"
2021-11-11 21:26:09+00:00,,Antara Amonkar 🇮🇳,"Shaheen Afridi mocked/imitated 3 of our Indian batsman after #indvspak match.. And today got 3 consecutive sixers on loose balls🤣 
That's karma for you.

#maukamauka #PAKvAUS #Australia"
2021-11-11 20:49:22+00:00,,MAYANK TALKS,"@ayeshaaamohd @WasimJaffer14 @davidwarner31 @TheRealPCB Let's hope that  #t20worldcup2022 Final in Australia takes place between #India @BCCI &amp; #Pakitan @TheRealPCB as a repeat of inaugural #T20WorldCup  Final between the two countries in 2007,as that may be the most watched cricket match in the world till date  #IndVsPak Final @icc🤝"
2021-11-11 20:47:30+00:00,,Maryam,@simadwasim Yessssssss!!! We asked for indvspak nzvspak you ppl gifted us that Thankyou🇵🇰 this is just a hard luck you ppl made the world shut their mouth from nowhere to top of the world wow what a victory it is Team green we are with you 🇵🇰 Prayers to all we know how bad you all are feelin
2021-11-11 20:40:52+00:00,,Saurabh Tiwari,"Pakistan didn't want to win the world-cup. Their country's media said on multiple occasions that the win against India was as big as winning the world-cup. 
Having shallow goals will lead you to shallow results. #indvspak #AUSvsPAK"
2021-11-11 20:31:47+00:00,,ବିଶେଷ ଦ୍ରଷ୍ଟବ୍ୟ N.B.,Indians never think more on technology than IndvsPak match.
2021-11-11 20:30:34+00:00,,Adra sakkai,"When u win against my birth home (porandha veedu), my in-laws home (pugundha veedu) have taken u down. 🤙🏻

👏🏻👏🏻👏🏻👏🏻 😀😀😀
Well played aussies 

#indvspak 
#AUSvsPAK"
2021-11-11 19:58:14+00:00,,NEELOTPAL SRIVASTAV🇮🇳,@Errorinthinking @Solid_Design7 @earthtoakash I too was hoping indvspak in semis or in finals though broadcasters have also a revenue shortage issues as both countries are out though 😂
2021-11-11 19:44:22+00:00,,Dr. Shival Dubey,"@ESPNcricinfo @cricbuzz Is it win the toss, bowl first &amp; win the game contest? Almost every team bowls first in their crucial games whether it was IndvsPak, PakvsNZ, NZvsInd, EngvsAus, AusvsRSA, or even both semifinals. #ICCT20WorldCup"
2021-11-11 19:43:04+00:00,,Masood M.Siddiq,@sagarcasm Ha same like #IndVsPak mmoooooooo😚😚😚😚😝
2021-11-11 19:39:05+00:00,,KAILAS K,"Karma is a boomerang! #PAKvAUS #ICCT20WorldCup #T20WorldCup21 #IndVsPak #ShaheenShahAfridi  #Karma 

https://t.co/2oQAg4opDd"
2021-11-11 19:34:41+00:00,,S♥️🇮🇳,"What world needs to tell #MohammadShami and #HasanAli ...

It's ok.
We all have bad days.

#PAKvAUS 
#IndVsPak 
#T20WorldCup2021 
#SemiFinals"
2021-11-11 19:34:28+00:00,,Ashutosh Modgil,"@chAibnAdoSHAHUL Rohit Sharma #indvspak 
Kl Rahul #indvspak 
David Warner #AUSvPAK 

These are the wrong decisions....made pakistan reach semis...or you can say their good luck🤣

ByeBye 👋"
2021-11-11 19:29:23+00:00,,Awais Ali,"@callerman ajeeb bhsdwaly ho beta #IndVsPak ydd hai ya bhool gayee..
152/0
Pakistan is the Only team to win 5/5 matches in which we start with Smashing Rohit and Kholi carrer
Hope Nxt tym Endia Show progress in game
#PakistanTeam 
#WellPlayed"
2021-11-11 19:26:11+00:00,,Ashutosh Modgil,"@RubinaAslam18 @TarabRajaUK @peaceforchange @OfficialDGISPR @Shahidmasooddr @Shehbazism @CMShehbaz @babarazam258 @FakharZamanLive @Fahad4014 Ohhh..being playing for years in dubai..its homeground of pak....they knows all pros and cons of pitches there... it was just there luck they reached semis...
1. Wicket of Rohit Sharma IndvsPak
2. Wicket of Kl Rahul IndvsPak
3. Wicket of David Warner PakvsAus
All 3 were not out👍"
2021-11-11 19:23:22+00:00,,Naqshband Sarhandi,"Hey Pak, When you think your time is running out just think how the worst time of 1.3 billion people would have passed🤣🤣🤣
We've already won our WC of the decade. 🏆🔥🥇😂

#IndVsPak
#PAKvsAUS
#T20WorldCup21
#Memes
#Australia  #Pakistan  #India #Semifinal #BabarAzam
#PCB #fixed https://t.co/q4FIG3Vu5y"
2021-11-11 19:21:14+00:00,,Maximilien,@T20WorldCup lets see #indvspak 2022 pakistan again chocked in knockouts if they were final they will win ...today was final for pakistan
2021-11-11 19:12:26+00:00,,Ushba Raheem,@mkd_atharva Have you forgotten the devastating INDvsPAK match already? Go watch. It's written in history now. :) dua kar. Jala na kar.
2021-11-11 19:12:09+00:00,,Faisii_Tweets,"We have Already Won the Cup On 24th October 😅
Remember the face 😄

#T20WorldCup21
#maukamauka #IndVsPak https://t.co/EjS9IvXgqj"
2021-11-11 19:05:21+00:00,,Epic Earn,@syedimran_ind @IntelWasabi Ara tumhari TU saiii sa sujaiii hana or tumhariii tarhan naiii hara fight karka haran han u loosers depend on others to qualify for the next rounds .#ICCT20WorldCup2021 #IndVsPak #pakiatanteam well played .
2021-11-11 18:57:23+00:00,,gaurav gautam,"Why Indians are excited??.it was a way better match than indvspak, Indian team played horribly in this world cup,  Ho can we come over that by the win of AUS #PAKVSAUS"
2021-11-11 18:56:55+00:00,,Hadavidicheddam,"Costly Drop 🏆 ..Follow @hadavidicheddam for more fun

#PakvsAus #Ausvspak
#matthewwade
#t20worldcup
#indvspak #india #pakistan
#dawidwarner #cricket

.
.
.
.
#maheshbabu #pushpakavimanam #vijaydevarakonda #stoinis #australia #naatunaatu #rrr #ramcharan #jrntr #nani #hadavidi… https://t.co/LuNWAfKDxy"
2021-11-11 18:55:37+00:00,,Dips,"@zellinsk @Pran__07 That's true but another truth is everybody will remember the champion only no one even remember the 2nd. Now coming to #IndvsPak in #WorldCup, it's still 5-1 in India's favor in #T20I and Pakistan is on the #love point in #ODI"
2021-11-11 18:54:37+00:00,,Biggbosstelugu5,"Hence proved #Pakistan was lucky to win the toss against New Zealand and India. They lost the toss, they lost the match against Australia. #IndVsPak #PAKvAUS #AUSvsPAK #BiggBoss"
2021-11-11 18:54:16+00:00,,Jimmy Ghai,@Arshadmemon778 This is sarcastic comment on Pakistan interior minister and specific sports personalities reaction on #IndVsPak match .
2021-11-11 18:53:42+00:00,,Sanjay Shukla,"@Ma_Khazza Same thing were happening on that day as well b/w #IndvsPak 
We didn't saw what we were expecting from our bowlers and also lack of captaincy from Virat as well."
2021-11-11 18:51:18+00:00,,Debargha Ghosh,"Hello Pakistan, Now you won't say fixing 😂 Abhi bolti band ho gayi kya??😂
#PAKvAUS #Pakistan #SemiFinals #T20WorldCup #INDvsPAK #fixing #maukamauka"
2021-11-11 18:47:43+00:00,,H A R V E Y 🦅,"@Ho_orainkhan Yeah and we proved it in warm up match against Aus by defeating them.

And IndvsPak
India : 12
Pak : 1

so no more quality talking, #PAKVSAUS"
2021-11-11 18:47:39+00:00,,Wani Masrat,"Today I got know why toss was so important.Those ppl who were criticizing Kohli ,should learnt something about the fact that in first innings ball was not coming so well on the bat as on 2nd innings.
#LuvYouKohliNowEnjoyUrBatting
#ShowYouRBeastMode
#IndVsPak
#EngVsNz
#PakVsAus"
2021-11-11 18:44:17+00:00,,Balaji Anantharam,Karma is a boomerang! #PAKvAUS #ICCT20WorldCup #T20WorldCup21 #IndVsPak #ShaheenShahAfridi  #Karma https://t.co/TgmYtvEGDE
2021-11-11 18:43:32+00:00,,Ashish,"@SushantNMehta One thing i hate to see that #SaniaMirza didn't cheer for India in any match against Nz, Afg, Nam and Scot #ICCT20WorldCup2021 

@MirzaSania should not be allowed to represent India anymore. I understand her dilemma in #indvsPak, par baaki matches main kya ho gaya tha?"
2021-11-11 18:42:49+00:00,,Endhukulemacha,@GautamGambhir @cricketaakash You should've told this during #indvspak match 😏😏
2021-11-11 18:42:02+00:00,,Mojo Jojo,"@reejahch Next year firse hai t20World Cup, I'll wait for IndVsPak 💪🏻"
2021-11-11 18:41:57+00:00,,Ashish,"@PMOIndia
 One thing i hate to see that #SaniaMirza didn't cheer for India in any match against Nz, Afg, Nam and Scot #ICCT20WorldCup2021 

@MirzaSania should not be allowed to represent India anymore. I understand her dilemma in #indvsPak, par baaki matches main kya ho gaya tha?"
2021-11-11 18:40:15+00:00,,CreativeHindu,"@shoaib100mph It's okay sir. Aapke statements yaad karo #IndVsPak match ke.
Bardast  karlo sir"
2021-11-11 18:37:50+00:00,,Prashant Shukla,"@MultanSultans @babarazam258 @AaronFinch5 I am here to share my feelings with @TheRealPCB 
How it is going now?
You guys troll us in #indvspak match.
#Karma"
2021-11-11 18:35:41+00:00,,Aman Sachan,"Three mistakes made by Afridi during the Namibia match cost him last 3 balls during #PAKVSAUS 🤣🤣🤣

👆that 3 mistakes - https://t.co/O8q6kSgcnL

#ICCT20WorldCup2021 #pakvsnamibia #pakvsindia #pakvsind #indvspak"
2021-11-11 18:35:17+00:00,,Ashish,"@amit_manwani @PMOIndia @PMOIndia One thing i hate to see that #SaniaMirza didn't cheer for India against Kiwis, Afghanistan, Namibia and Scotland. @MirzaSania should not be allowed to represent India in any major tournament. I understand her dilemma in #indvsPak, par baaki matches main kya ho gaya tha?"
